Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
82	6	0	2.05	3022585.1	3022621.35	3022582.16	3022684.8	102.64548	35.944365	0	35	0	0	3
83	6	0	2.075	3022580.04	3022616.4	3022580.04	3022684.8	104.764413	35.6737999	0	34	0	0	3
84	6	0	2.1	3022578.91	3022611.74	3022578.91	3022684.8	105.896487	35.382028	0	33.4	0	0	3
85	6	0	2.125	3022578.79	3022607.17	3022578.79	3022684.8	106.012097	35.0700978	0	33	0	0	3
86	6	0	2.15	3022579.41	3022602.5	3022578.79	3022684.8	106.012097	34.7448016	0	32.7	0	0	3
87	6	0	2.175	3022578.42	3022597.43	3022578.42	3022675.74	97.3230532	34.4043304	0	35.3	0	0	3
88	6	0	2.2	3022581.87	3022592.96	3022578.42	3022657.21	78.7913297	34.0544495	0	43.2	0	0	3
89	6	0	2.225	3022582.95	3022589.42	3022578.42	3022629.51	51.0950423	33.6969534	0	65.9	0	0	3
90	6	0	2.25	3022585.4	3022587.32	3022578.42	3022610.07	31.6540808	33.3405127	0	100	0	0	3
91	6	0	2.275	3022584.47	3022586.1	3022578.42	3022597.17	18.7482275	32.9833004	0	100	0	0	3
92	6	0	2.3	3022585.99	3022585.76	3022578.42	3022597.17	18.7482275	32.622262	0	100	0	0	3
93	6	0	2.325	3022585.1	3022585.66	3022578.42	3022597.17	18.7482275	32.2583976	0	100	0	0	3
94	7	0	2.35	3022584.74	3022585.78	3022578.42	3022597.17	18.7482275	31.8988276	0	100	0	0	3
95	7	0	2.375	3022583.37	3022585.69	3022578.42	3022597.17	18.7482275	31.5513323	0	100	0	0	3
96	7	0	2.4	3022583.33	3022585.46	3022578.42	3022597.17	18.7482275	31.2162475	0	100	0	0	3
97	7	0	2.425	3022583.81	3022584.98	3022578.42	3022597.17	18.7482275	30.888429	0	100	0	0	3
98	7	0	2.45	3022584.98	3022584.49	3022578.42	3022597.17	18.7482275	30.5456014	0	100	0	0	3
99	7	0	2.475	3022585.39	3022583.93	3022578.42	3022592.8	14.3773706	30.1808157	0	100	0	0	3
100	7	0	2.5	3022589.86	3022583.79	3022578.42	3022590.61	12.1914548	29.8077716	0	100	0	0	3
101	7	0	2.525	3022591.54	3022583.83	3022578.42	3022591.54	13.1242628	29.4330063	0	100	0	0	3
102	7	0	2.55	3022595.7	3022584.25	3022578.42	3022595.7	17.2754052	29.0645054	0	100	0	0	3
103	7	0	2.575	3022596.62	3022584.79	3022578.42	3022596.62	18.200181	28.7077028	0	100	0	0	3
104	7	0	2.6	3022599.15	3022585.7	3022578.42	3022599.15	20.7279839	28.3620504	0	100	0	0	3
105	7	0	2.625	3022600.18	3022586.72	3022578.42	3022600.18	21.7640055	28.0270334	0	100	0	0	3
106	7	0	2.65	3022600.08	3022587.73	3022578.42	3022600.18	18.7054257	27.7021684	0	100	0	0	3
107	7	0	2.675	3022597.85	3022588.61	3022578.42	3022600.18	13.6395784	27.3786297	0	100	0	0	3
108	7	0	2.7	3022597.51	3022589.52	3022581.87	3022600.18	9.16949999	27.0477354	0	100	0	0	3
109	7	0	2.725	3022595.38	3022590.16	3022582.95	3022600.18	6.3710818	26.7015826	0	100	0	0	3
110	8	0	2.75	3022595.67	3022590.77	3022583.33	3022600.18	6.97687848	26.3481263	0	100	0	0	3
111	8	0	2.775	3022594.96	3022591.22	3022583.33	3022600.18	7.43192315	25.9960029	0	100	0	0	3
112	8	0	2.8	3022596.9	3022591.81	3022583.33	3022600.18	8.02419259	25.6536607	0	100	0	0	3
113	8	0	2.825	3022599.28	3022592.45	3022583.33	3022600.18	8.65721698	25.3206978	0	100	0	0	3
114	8	0	2.85	3022605.87	3022593.44	3022583.33	3022605.87	9.64613119	25.0014911	0	100	0	0	3
115	8	0	2.875	3022611.66	3022594.72	3022583.33	3022611.66	10.9282603	24.7064492	0	100	0	0	3
116	8	0	2.9	3022617.92	3022596.36	3022583.33	3022617.92	12.5736133	24.7064492	0	100	0	0	3
117	8	0	2.925	3022621.94	3022598.2	3022583.81	3022621.94	14.4123596	24.7064492	0	100	0	0	3
118	8	0	2.95	3022626.63	3022600.24	3022584.98	3022626.63	16.4514639	24.7064492	0	100	0	0	3
119	8	0	2.975	3022626.81	3022602.23	3022585.39	3022626.81	18.4433712	24.7064492	0	100	0	0	3
120	8	0	3	3022624.7	3022604.11	3022589.86	3022626.81	20.3151517	24.7064492	0	100	0	0	3
121	8	0	3.025	3022618.63	3022605.48	3022591.54	3022626.81	21.6407636	24.7064492	0	100	0	0	3
122	8	0	3.05	3022614.07	3022606.55	3022594.96	3022626.81	22.3025386	24.7064492	0	100	0	0	3
123	8	0	3.075	3022607.12	3022607.09	3022594.96	3022626.81	22.2981539	24.7064492	0	100	0	0	3
124	8	0	3.1	3022603.28	3022607.41	3022594.96	3022626.81	21.7055074	24.7064492	0	100	0	0	3
125	8	0	3.125	3022597.87	3022607.35	3022594.96	3022626.81	20.6922835	24.7064492	0	100	0	0	3
126	9	0	3.15	3022597.79	3022607.23	3022594.96	3022626.81	19.6785847	24.7064492	0	100	0	0	3
127	9	0	3.175	3022597.05	3022607.09	3022594.96	3022626.81	18.800278	24.7064492	0	100	0	0	3
128	9	0	3.2	3022599.38	3022607.16	3022594.96	3022626.81	17.8910205	24.7064492	0	100	0	0	3
129	9	0	3.225	3022603.61	3022607.45	3022594.96	3022626.81	17.2910273	24.7064492	0	100	0	0	3
130	9	0	3.25	3022616.58	3022608.46	3022594.96	3022626.81	17.6950388	24.7064492	0	100	0	0	3
131	9	0	3.275	3022624.05	3022609.81	3022594.96	3022626.81	18.5913188	24.7064492	0	100	0	0	3
