Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
62	5	0	1.55	5.49396632e-06	1.25044475e-05	-8.09803113e-07	2.3705522e-05	9.39767883e-06	0.0142373034	0	100	0	0	3
63	5	0	1.575	7.60876496e-06	1.23509486e-05	-8.09803113e-07	2.3705522e-05	9.24489035e-06	0.017343451	0	100	0	0	3
64	5	0	1.6	1.34397456e-05	1.24881996e-05	-8.09803113e-07	2.3705522e-05	8.92216416e-06	0.0146791142	0	100	0	0	3
65	5	0	1.625	9.37264183e-06	1.24406092e-05	-8.09803113e-07	2.3705522e-05	8.32373998e-06	0.0172096937	0	100	0	0	3
66	5	0	1.65	1.79982402e-05	1.27842413e-05	-8.09803113e-07	2.3705522e-05	8.21798963e-06	0.0153735891	0	100	0	0	3
67	5	0	1.675	1.51704768e-05	1.32595259e-05	-8.09803113e-07	2.3705522e-05	8.2106786e-06	0.0174154958	0	100	0	0	3
68	5	0	1.7	2.72308546e-05	1.3937266e-05	-8.09803113e-07	2.72308546e-05	7.66831294e-06	0.0155879015	0	100	0	0	3
69	5	0	1.725	1.588383e-05	1.37716667e-05	-8.09803113e-07	2.72308546e-05	7.22478283e-06	0.017277417	0	100	0	0	3
70	5	0	1.75	1.32689119e-05	1.38253373e-05	-8.09803113e-07	2.72308546e-05	7.05962296e-06	0.0160154845	0	100	0	0	3
71	5	0	1.775	1.72721825e-05	1.36969672e-05	-8.09803113e-07	2.72308546e-05	5.40359456e-06	0.0169406416	0	100	0	0	3
72	5	0	1.8	2.32647284e-05	1.36914443e-05	-8.09803113e-07	2.72308546e-05	3.71043099e-06	0.0159994377	0	100	0	0	3
73	5	0	1.825	1.93381134e-05	1.35107346e-05	-8.09803113e-07	2.72308546e-05	3.55246831e-06	0.0171246167	0	100	0	0	3
74	5	0	1.85	1.8438971e-05	1.3910653e-05	-8.09803113e-07	2.72308546e-05	2.44705049e-06	0.015981211	0	100	0	0	3
75	5	0	1.875	1.75931267e-05	1.39055314e-05	-8.09803113e-07	2.72308546e-05	2.44705049e-06	0.0169201583	0	100	0	0	3
76	5	0	1.9	1.81520778e-05	1.40873147e-05	-8.09803113e-07	2.72308546e-05	2.10495426e-06	0.016153623	0	100	0	0	3
77	6	0	1.925	1.32795582e-05	1.35908403e-05	-8.09803113e-07	2.72308546e-05	1.73636612e-06	0.0170856833	0	100	0	0	3
78	6	0	1.95	1.99532952e-05	1.45795592e-05	5.45984492e-06	2.72308546e-05	2.22861062e-06	0.0160933604	0	100	0	0	3
79	6	0	1.975	2.33241219e-05	1.53260512e-05	5.45984492e-06	2.72308546e-05	2.97510261e-06	0.017711593	0	100	0	0	3
80	6	0	2	2.67656378e-05	1.63406128e-05	5.49396632e-06	2.72308546e-05	3.98966417e-06	0.0163966592	0	100	0	0	3
81	6	0	2.025	4.62537895e-06	1.5992038e-05	4.62537895e-06	2.72308546e-05	3.98966417e-06	0.0178334612	0	100	0	0	3
82	6	0	2.05	-3.53603191e-06	1.54256472e-05	-3.53603191e-06	2.72308546e-05	3.98966417e-06	0.0164487803	0	100	0	0	3
83	6	0	2.075	2.08742862e-06	1.52634312e-05	-3.53603191e-06	2.72308546e-05	3.98966417e-06	0.0178309348	0	100	0	0	3
84	6	0	2.1	7.81296043e-06	1.52731548e-05	-3.53603191e-06	2.72308546e-05	3.90000362e-06	0.016492859	0	100	0	0	3
85	6	0	2.125	-5.73281107e-06	1.43601759e-05	-5.73281107e-06	2.72308546e-05	3.90000362e-06	0.0175206927	0	100	0	0	3
86	6	0	2.15	3.65016433e-06	1.40876769e-05	-5.73281107e-06	2.72308546e-05	3.55637147e-06	0.0167888233	0	100	0	0	3
87	6	0	2.175	8.63706144e-06	1.36419065e-05	-5.73281107e-06	2.72308546e-05	3.08108693e-06	0.0178860217	0	100	0	0	3
88	6	0	2.2	1.04917178e-05	1.34191085e-05	-5.73281107e-06	2.72308546e-05	2.92150431e-06	0.0165318514	0	100	0	0	3
89	6	0	2.225	-3.00162367e-06	1.19794667e-05	-5.73281107e-06	2.67656378e-05	4.36114613e-06	0.0175226358	0	100	0	0	3
90	6	0	2.25	-3.08721717e-07	1.12083928e-05	-5.73281107e-06	2.67656378e-05	5.13222002e-06	0.016844666	0	100	0	0	3
91	6	0	2.275	7.19436379e-06	1.09191286e-05	-5.73281107e-06	2.67656378e-05	5.42148422e-06	0.0175004147	0	100	0	0	3
92	6	0	2.3	7.75166044e-06	1.04657704e-05	-5.73281107e-06	2.67656378e-05	5.87484241e-06	0.0167571431	0	100	0	0	3
93	6	0	2.325	1.14750065e-05	9.90435505e-06	-5.73281107e-06	2.67656378e-05	6.43625774e-06	0.017896068	0	100	0	0	3
94	7	0	2.35	9.1764961e-06	9.42046851e-06	-5.73281107e-06	2.67656378e-05	6.92014427e-06	0.0168949061	0	100	0	0	3
95	7	0	2.375	1.11339115e-05	9.07260853e-06	-5.73281107e-06	2.67656378e-05	7.26800425e-06	0.0179815276	0	100	0	0	3
96	7	0	2.4	1.06815061e-05	8.74348374e-06	-5.73281107e-06	2.67656378e-05	7.59712904e-06	0.0169365356	0	100	0	0	3
97	7	0	2.425	1.01350955e-05	8.36172268e-06	-5.73281107e-06	2.67656378e-05	7.9788901e-06	0.0180727901	0	100	0	0	3
98	7	0	2.45	1.21248765e-05	8.30673784e-06	-5.73281107e-06	2.67656378e-05	8.03387494e-06	0.017205081	0	100	0	0	3
99	7	0	2.475	9.09525094e-06	7.78968811e-06	-5.73281107e-06	2.67656378e-05	8.55092467e-06	0.0175471465	0	100	0	0	3
100	7	0	2.5	1.05617156e-05	7.18195448e-06	-5.73281107e-06	2.67656378e-05	9.1586583e-06	0.0170507696	0	100	0	0	3
101	7	0	2.525	1.04898548e-05	6.40691719e-06	-5.73281107e-06	1.21248765e-05	9.58512078e-06	0.0176216626	0	100	0	0	3
102	7	0	2.55	9.04101772e-06	6.61718571e-06	-5.73281107e-06	1.21248765e-05	9.01873005e-06	0.0173957069	0	100	0	0	3
103	7	0	2.575	1.08772844e-05	7.3035341e-06	-5.73281107e-06	1.21248765e-05	8.86623757e-06	0.0181668995	0	100	0	0	3
104	7	0	2.6	1.12354591e-05	7.7391546e-06	-5.73281107e-06	1.21248765e-05	8.86623757e-06	0.01745942	0	100	0	0	3
105	7	0	2.625	-3.52805673e-06	7.19910617e-06	-5.73281107e-06	1.21248765e-05	7.95325868e-06	0.0184110239	0	100	0	0	3
106	7	0	2.65	4.9902096e-06	7.7097262e-06	-3.52805673e-06	1.21248765e-05	7.68075975e-06	0.0180707975	0	100	0	0	3
