Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
88	6	0	2.2	293.200837	293.200712	293.200573	293.200837	0.000264339647	2.67005591e-05	0	10.1	0	0	3
89	6	0	2.225	293.200849	293.200725	293.200592	293.200849	0.000257033168	2.68437266e-05	0	10.4	0	0	3
90	6	0	2.25	293.20086	293.200738	293.200609	293.20086	0.000251239026	2.6978813e-05	0	10.7	0	0	3
91	6	0	2.275	293.200872	293.200751	293.200625	293.200872	0.000246688648	2.71064938e-05	0	10.9	0	0	3
92	6	0	2.3	293.200883	293.200763	293.200639	293.200883	0.000243980154	2.72255137e-05	0	11.1	0	0	3
93	6	0	2.325	293.200895	293.200775	293.200653	293.200895	0.000241893739	2.73368888e-05	0	11.3	0	0	3
94	7	0	2.35	293.200906	293.200787	293.200665	293.200906	0.000241542135	2.74423137e-05	0	11.3	0	0	3
95	7	0	2.375	293.200918	293.200799	293.200677	293.200918	0.000241247041	2.75433963e-05	0	11.4	0	0	3
96	7	0	2.4	293.200929	293.200811	293.200688	293.200929	0.000241295327	2.76407904e-05	0	11.4	0	0	3
97	7	0	2.425	293.20094	293.200823	293.2007	293.20094	0.000240090478	2.77328298e-05	0	11.5	0	0	3
98	7	0	2.45	293.200951	293.200835	293.200712	293.200951	0.000238986864	2.7814605e-05	0	11.6	0	0	3
99	7	0	2.475	293.200962	293.200847	293.200726	293.200962	0.000236422176	2.7884757e-05	0	11.7	0	0	3
100	7	0	2.5	293.200972	293.200859	293.200738	293.200972	0.000233496115	2.79456044e-05	0	11.9	0	0	3
101	7	0	2.525	293.200982	293.200871	293.200752	293.200982	0.000230792748	2.79993596e-05	0	12.1	0	0	3
102	7	0	2.55	293.200992	293.200882	293.200764	293.200992	0.000227881269	2.80473188e-05	0	12.3	0	0	3
103	7	0	2.575	293.201002	293.200893	293.200778	293.201002	0.000224905266	2.80900591e-05	0	12.4	0	0	3
104	7	0	2.6	293.201012	293.200905	293.20079	293.201012	0.000222436294	2.81286407e-05	0	12.6	0	0	3
105	7	0	2.625	293.201022	293.200916	293.200802	293.201022	0.000220449746	2.81643109e-05	0	12.7	0	0	3
106	7	0	2.65	293.201033	293.200927	293.200814	293.201033	0.000218835536	2.81983355e-05	0	12.8	0	0	3
107	7	0	2.675	293.201043	293.200938	293.200826	293.201043	0.000217210194	2.82276259e-05	0	12.9	0	0	3
108	7	0	2.7	293.201053	293.200948	293.200837	293.201053	0.000216229878	2.82500299e-05	0	13	0	0	3
109	7	0	2.725	293.201064	293.200959	293.200849	293.201064	0.000214950927	2.82640815e-05	0	13.1	0	0	3
110	8	0	2.75	293.201073	293.20097	293.20086	293.201073	0.000213401799	2.82712373e-05	0	13.2	0	0	3
111	8	0	2.775	293.201083	293.20098	293.200872	293.201083	0.000211163574	2.82722722e-05	0	13.3	0	0	3
112	8	0	2.8	293.201092	293.200991	293.200883	293.201092	0.000208904499	2.8269007e-05	0	13.5	0	0	3
113	8	0	2.825	293.201101	293.201001	293.200895	293.201101	0.0002058582	2.82614785e-05	0	13.7	0	0	3
114	8	0	2.85	293.201108	293.201011	293.200906	293.201108	0.000201856468	2.82505116e-05	0	13.9	0	0	3
115	8	0	2.875	293.201116	293.201021	293.200918	293.201116	0.000197749199	2.82362031e-05	0	14.2	0	0	3
116	8	0	2.9	293.201123	293.201031	293.200929	293.201123	0.000193773241	2.82190718e-05	0	14.5	0	0	3
117	8	0	2.925	293.201131	293.201041	293.20094	293.201131	0.000190362565	2.81986746e-05	0	14.8	0	0	3
118	8	0	2.95	293.201138	293.20105	293.200951	293.201138	0.00018674455	2.81750529e-05	0	15	0	0	3
119	8	0	2.975	293.201146	293.20106	293.200962	293.201146	0.000183975731	2.81478496e-05	0	15.2	0	0	3
120	8	0	3	293.201154	293.201069	293.200972	293.201154	0.000182511167	2.81179287e-05	0	15.4	0	0	3
121	8	0	3.025	293.201164	293.201078	293.200982	293.201164	0.000181216263	2.80856908e-05	0	15.4	0	0	3
122	8	0	3.05	293.201172	293.201087	293.200992	293.201172	0.000180068486	2.80511745e-05	0	15.5	0	0	3
123	8	0	3.075	293.201181	293.201096	293.201002	293.201181	0.00017873926	2.80142787e-05	0	15.6	0	0	3
124	8	0	3.1	293.201189	293.201105	293.201012	293.201189	0.00017693797	2.79751142e-05	0	15.8	0	0	3
125	8	0	3.125	293.201198	293.201114	293.201022	293.201198	0.000175193898	2.79341541e-05	0	15.9	0	0	3
126	9	0	3.15	293.201205	293.201122	293.201033	293.201205	0.000171963358	2.7890659e-05	0	16.2	0	0	3
127	9	0	3.175	293.201212	293.201131	293.201043	293.201212	0.000168472603	2.78445233e-05	0	16.5	0	0	3
128	9	0	3.2	293.201218	293.201139	293.201053	293.201218	0.000164595391	2.77960189e-05	0	16.8	0	0	3
129	9	0	3.225	293.201224	293.201147	293.201064	293.201224	0.000159997355	2.77445164e-05	0	17.3	0	0	3
130	9	0	3.25	293.201227	293.201155	293.201073	293.201227	0.000153869981	2.7688878e-05	0	17.9	0	0	3
131	9	0	3.275	293.201232	293.201163	293.201083	293.201232	0.000148841439	2.76295188e-05	0	18.5	0	0	3
132	9	0	3.3	293.201236	293.20117	293.201092	293.201236	0.000143948694	2.75666374e-05	0	19.1	0	0	3
133	9	0	3.325	293.201241	293.201177	293.201101	293.201241	0.000139963996	2.7500428e-05	0	19.6	0	0	3
134	9	0	3.35	293.201245	293.201184	293.201108	293.201245	0.000136500359	2.74307106e-05	0	20	0	0	3
135	9	0	3.375	293.201251	293.201191	293.201116	293.201251	0.000134953538	2.73587764e-05	0	20.2	0	0	3
